""	"x"
"208"	"A"
"209"	"D"
"210"	"E"
"211"	"C"
"212"	"A"
"213"	"F"
"214"	"D"
"215"	"B"
"216"	"F"
"217"	"E"
"218"	"C"
"219"	"A"
"220"	"C"
"221"	"A"
"222"	"B"
"223"	"B"
"224"	"B"
"225"	"D"
"226"	"C"
"227"	"A"
"228"	"A"
"229"	"C"
"230"	"B"
"231"	"E"
"232"	"D"
"233"	"B"
"234"	"D"
"235"	"C"
"236"	"F"
"237"	"F"
"238"	"A"
"239"	"D"
"240"	"C"
"241"	"F"
"242"	"E"
"243"	"F"
"244"	"A"
"245"	"B"
"246"	"A"
"247"	"A"
"248"	"D"
"249"	"B"
"250"	"A"
"251"	"B"
"252"	"B"
"253"	"A"
"254"	"A"
"255"	"C"
"256"	"D"
"257"	"C"
"258"	"C"
"259"	"B"
"260"	"E"
"261"	"A"
"262"	"B"
"263"	"B"
"264"	"F"
"265"	"C"
"266"	"E"
"267"	"F"
"268"	"E"
"269"	"F"
"270"	"A"
"271"	"E"
"272"	"C"
"273"	"C"
"274"	"A"
"275"	"A"
"276"	"D"
"277"	"D"
"278"	"D"
"279"	"B"
"280"	"E"
"281"	"B"
"282"	"B"
"283"	"F"
"284"	"A"
"285"	"A"
"286"	"A"
"287"	"F"
"288"	"B"
"289"	"E"
"290"	"B"
"291"	"B"
"292"	"F"
"293"	"A"
"294"	"B"
"295"	"E"
"296"	"C"
"297"	"B"
"298"	"A"
"299"	"F"
"300"	"F"
"301"	"C"
"302"	"E"
"303"	"E"
"304"	"B"
"305"	"D"
"306"	"E"
"307"	"A"
"308"	"A"
"309"	"B"
"310"	"F"
"311"	"A"
"312"	"C"
"313"	"D"
"314"	"B"
"315"	"F"
"316"	"A"
"317"	"B"
"318"	"A"
"319"	"A"
"320"	"C"
"321"	"C"
"322"	"B"
"323"	"F"
"324"	"D"
"325"	"B"
"326"	"A"
"327"	"B"
"328"	"B"
"329"	"C"
"330"	"C"
"331"	"F"
"332"	"F"
"333"	"B"
"334"	"A"
"335"	"B"
"336"	"D"
"337"	"E"
"338"	"D"
"339"	"B"
"340"	"F"
"341"	"A"
"342"	"B"
"343"	"A"
"344"	"E"
"345"	"F"
"346"	"B"
"347"	"F"
"348"	"D"
"349"	"D"
"350"	"A"
"351"	"E"
"352"	"B"
"353"	"D"
"354"	"C"
"355"	"F"
"356"	"A"
"357"	"E"
"358"	"B"
"359"	"B"
"360"	"C"
"361"	"D"
"362"	"C"
"363"	"B"
"364"	"F"
"365"	"A"
"366"	"F"
"367"	"F"
"368"	"B"
"369"	"B"
"370"	"E"
"371"	"C"
"372"	"A"
"373"	"B"
"374"	"C"
"375"	"A"
"376"	"B"
"377"	"D"
"378"	"F"
"379"	"B"
"380"	"B"
"381"	"B"
"382"	"B"
"383"	"D"
"384"	"D"
"385"	"D"
"386"	"A"
"387"	"A"
"388"	"B"
"389"	"F"
"390"	"D"
"391"	"F"
"392"	"B"
"393"	"B"
"394"	"E"
"395"	"B"
"396"	"E"
"397"	"B"
"398"	"F"
"399"	"A"
"400"	"D"
"401"	"B"
"402"	"B"
"403"	"B"
"404"	"B"
"405"	"E"
"406"	"B"
"407"	"B"
"408"	"D"
"409"	"A"
"410"	"F"
"411"	"F"
"412"	"B"
"413"	"F"
"414"	"B"
"415"	"E"
"416"	"A"
"417"	"A"
"418"	"F"
"419"	"C"
"420"	"A"
"421"	"B"
"422"	"D"
"423"	"F"
"424"	"C"
"425"	"F"
"426"	"B"
"427"	"D"
"428"	"D"
"429"	"B"
"430"	"D"
"431"	"B"
"432"	"D"
"433"	"A"
"434"	"F"
"435"	"E"
"436"	"B"
"437"	"A"
"438"	"A"
"439"	"B"
"440"	"E"
"441"	"E"
"442"	"B"
"443"	"A"
"444"	"B"
"445"	"D"
"446"	"A"
"447"	"A"
"448"	"E"
"449"	"A"
"450"	"F"
"451"	"D"
"452"	"D"
"453"	"B"
"454"	"B"
"455"	"E"
"456"	"A"
"457"	"F"
"458"	"E"
"459"	"A"
"460"	"A"
"461"	"D"
"462"	"C"
"463"	"D"
"464"	"B"
"465"	"B"
"466"	"D"
"467"	"E"
"468"	"C"
"469"	"C"
"470"	"E"
"471"	"C"
"472"	"A"
"473"	"D"
"474"	"E"
"475"	"A"
"476"	"B"
"477"	"E"
"478"	"F"
"479"	"A"
"480"	"B"
"481"	"A"
"482"	"A"
"483"	"A"
"484"	"A"
"485"	"F"
"486"	"B"
"487"	"F"
"488"	"A"
"489"	"F"
"490"	"B"
"491"	"F"
"492"	"D"
"493"	"F"
"494"	"F"
"495"	"F"
"496"	"A"
"497"	"C"
"498"	"D"
"499"	"F"
"500"	"B"
"501"	"C"
"502"	"F"
"503"	"D"
"504"	"D"
"505"	"A"
"506"	"E"
"507"	"A"
"508"	"A"
"509"	"D"
"510"	"B"
"511"	"A"
"512"	"A"
"513"	"F"
"514"	"A"
"515"	"F"
"516"	"F"
"517"	"B"
"518"	"D"
"519"	"B"
"520"	"F"
"521"	"D"
"522"	"D"
"523"	"F"
"524"	"C"
"525"	"A"
"526"	"B"
"527"	"B"
"528"	"F"
"529"	"F"
"530"	"A"
"531"	"D"
"532"	"A"
"533"	"F"
"534"	"B"
"535"	"F"
"536"	"D"
"537"	"F"
"538"	"A"
"539"	"C"
"540"	"A"
"541"	"F"
"542"	"A"
"543"	"C"
"544"	"F"
"545"	"D"
"546"	"F"
"547"	"F"
"548"	"A"
"549"	"C"
"550"	"F"
"551"	"F"
"552"	"C"
"553"	"B"
"554"	"D"
"555"	"D"
"556"	"C"
"557"	"A"
"558"	"F"
"559"	"B"
"560"	"F"
"561"	"A"
"562"	"D"
"563"	"B"
"564"	"A"
"565"	"B"
"566"	"A"
"567"	"B"
"568"	"F"
"569"	"F"
"570"	"B"
"571"	"B"
"572"	"E"
"573"	"D"
"574"	"F"
"575"	"F"
"576"	"A"
"577"	"B"
"578"	"C"
"579"	"E"
"580"	"B"
"581"	"B"
"582"	"B"
"583"	"C"
"584"	"F"
"585"	"A"
"586"	"B"
"587"	"C"
"588"	"D"
"589"	"F"
"590"	"B"
"591"	"A"
"592"	"E"
"593"	"E"
"594"	"A"
"595"	"F"
"596"	"C"
"597"	"B"
"598"	"A"
"599"	"B"
"600"	"C"
"601"	"E"
"602"	"C"
"603"	"D"
"604"	"B"
"605"	"D"
"606"	"C"
"607"	"A"
"608"	"C"
"609"	"C"
"610"	"D"
"611"	"E"
"612"	"F"
"613"	"C"
"614"	"F"
"615"	"F"
"616"	"F"
"617"	"F"
"618"	"C"
"619"	"B"
"620"	"B"
"621"	"F"
"622"	"E"
"623"	"B"
"624"	"F"
"625"	"C"
"626"	"F"
"627"	"B"
"628"	"C"
"629"	"C"
"630"	"B"
"631"	"B"
"632"	"F"
"633"	"F"
"634"	"F"
"635"	"B"
"636"	"C"
"637"	"B"
"638"	"F"
"639"	"D"
"640"	"A"
"641"	"A"
"642"	"D"
"643"	"B"
"644"	"D"
"645"	"C"
"646"	"B"
"647"	"B"
"648"	"C"
"649"	"B"
"650"	"B"
"651"	"C"
"652"	"F"
"653"	"C"
"654"	"F"
"655"	"B"
"656"	"C"
"657"	"F"
"658"	"E"
"659"	"F"
"660"	"B"
"661"	"A"
"662"	"F"
"663"	"A"
"664"	"C"
"665"	"F"
"666"	"B"
"667"	"B"
"668"	"E"
"669"	"F"
"670"	"C"
"671"	"A"
"672"	"F"
"673"	"D"
"674"	"B"
"675"	"A"
"676"	"F"
"677"	"B"
"678"	"F"
"679"	"D"
"680"	"F"
"681"	"A"
"682"	"F"
"683"	"E"
"684"	"F"
"685"	"C"
"686"	"F"
"687"	"A"
"688"	"B"
"689"	"F"
"690"	"A"
"691"	"B"
"692"	"B"
"693"	"A"
"694"	"A"
"695"	"D"
"696"	"F"
"697"	"F"
"698"	"C"
"699"	"F"
"700"	"D"
"701"	"F"
"702"	"D"
"703"	"D"
"704"	"E"
"705"	"C"
"706"	"C"
"707"	"C"
"708"	"C"
"709"	"D"
"710"	"B"
"711"	"B"
"712"	"E"
"713"	"F"
"714"	"B"
"715"	"F"
"716"	"B"
"717"	"A"
"718"	"C"
"719"	"F"
"720"	"A"
"721"	"B"
"722"	"A"
"723"	"F"
"724"	"C"
"725"	"E"
"726"	"B"
"727"	"C"
"728"	"F"
"729"	"A"
"730"	"E"
"731"	"C"
"732"	"F"
"733"	"B"
"734"	"C"
"735"	"A"
"736"	"A"
"737"	"C"
"738"	"E"
"739"	"B"
"740"	"C"
"741"	"B"
"742"	"C"
"743"	"A"
"744"	"B"
"745"	"F"
"746"	"B"
"747"	"B"
"748"	"C"
"749"	"D"
"750"	"F"
"751"	"F"
"752"	"F"
"753"	"F"
"754"	"B"
"755"	"F"
"756"	"C"
"757"	"E"
"758"	"F"
"759"	"E"
"760"	"C"
"761"	"B"
"762"	"F"
"763"	"F"
"764"	"B"
"765"	"F"
"766"	"E"
"767"	"E"
"768"	"A"
"769"	"A"
"770"	"A"
"771"	"F"
"772"	"F"
"773"	"E"
"774"	"A"
"775"	"B"
"776"	"B"
"777"	"F"
"778"	"A"
"779"	"C"
"780"	"E"
"781"	"F"
"782"	"C"
"783"	"B"
"784"	"B"
"785"	"B"
"786"	"F"
"787"	"F"
"788"	"B"
"789"	"B"
"790"	"B"
"791"	"F"
"792"	"F"
"793"	"B"
"794"	"F"
"795"	"D"
"796"	"E"
"797"	"D"
"798"	"F"
"799"	"E"
"800"	"F"
"801"	"A"
"802"	"B"
"803"	"D"
"804"	"F"
"805"	"B"
"806"	"A"
"807"	"E"
"808"	"B"
"809"	"D"
"810"	"C"
"811"	"F"
"812"	"F"
"813"	"E"
"814"	"C"
"815"	"F"
"816"	"B"
"817"	"A"
"818"	"F"
"819"	"B"
"820"	"E"
"821"	"F"
"822"	"A"
"823"	"B"
"824"	"B"
"825"	"F"
"826"	"B"
"827"	"F"
"828"	"B"
"829"	"C"
"830"	"B"
"831"	"E"
"832"	"B"
"833"	"C"
"834"	"D"
"835"	"F"
"836"	"D"
"837"	"F"
"838"	"C"
"839"	"F"
"840"	"B"
"841"	"D"
"842"	"A"
"843"	"A"
"844"	"F"
"845"	"D"
"846"	"F"
"847"	"C"
"848"	"A"
"849"	"C"
"850"	"A"
"851"	"F"
"852"	"F"
"853"	"D"
"854"	"D"
"855"	"C"
"856"	"A"
"857"	"D"
"858"	"C"
"859"	"F"
"860"	"A"
"861"	"B"
"862"	"E"
"863"	"C"
"864"	"A"
"865"	"D"
"866"	"B"
"867"	"B"
"868"	"E"
"869"	"B"
"870"	"F"
"871"	"E"
"872"	"D"
"873"	"D"
"874"	"A"
"875"	"C"
"876"	"A"
"877"	"B"
"878"	"D"
"879"	"A"
"880"	"B"
"881"	"B"
"882"	"C"
"883"	"A"
"884"	"A"
"885"	"E"
"886"	"A"
"887"	"A"
"888"	"F"
"889"	"A"
"890"	"F"
"891"	"F"
"892"	"A"
"893"	"B"
"894"	"A"
"895"	"B"
"896"	"A"
"897"	"B"
"898"	"F"
"899"	"A"
"900"	"A"
"901"	"A"
"902"	"C"
"903"	"B"
"904"	"E"
"905"	"A"
"906"	"A"
"907"	"B"
"908"	"B"
"909"	"E"
"910"	"F"
"911"	"D"
"912"	"A"
"913"	"B"
"914"	"C"
"915"	"B"
"916"	"B"
"917"	"A"
"918"	"E"
"919"	"F"
"920"	"C"
"921"	"F"
"922"	"B"
"923"	"A"
"924"	"B"
"925"	"F"
"926"	"B"
"927"	"B"
"928"	"B"
"929"	"D"
"930"	"A"
"931"	"A"
"932"	"B"
"933"	"C"
"934"	"A"
"935"	"B"
"936"	"D"
"937"	"B"
"938"	"C"
"939"	"F"
"940"	"F"
"941"	"F"
"942"	"E"
"943"	"A"
"944"	"B"
"945"	"D"
"946"	"A"
"947"	"A"
"948"	"A"
"949"	"A"
"950"	"F"
"951"	"B"
"952"	"F"
"953"	"F"
"954"	"B"
"955"	"C"
"956"	"D"
"957"	"B"
"958"	"F"
"959"	"A"
"960"	"A"
"961"	"B"
"962"	"E"
"963"	"A"
"964"	"A"
"965"	"B"
"966"	"F"
"967"	"C"
"968"	"A"
"969"	"A"
"970"	"C"
"971"	"B"
"972"	"A"
"973"	"D"
"974"	"E"
"975"	"F"
"976"	"A"
"977"	"A"
"978"	"C"
"979"	"F"
"980"	"B"
"981"	"A"
"982"	"D"
"983"	"B"
"984"	"A"
"985"	"E"
"986"	"D"
"987"	"B"
"988"	"F"
"989"	"B"
"990"	"F"
"991"	"C"
"992"	"B"
"993"	"A"
"994"	"D"
"995"	"B"
"996"	"F"
"997"	"B"
"998"	"F"
"999"	"B"
"1000"	"B"
