""	"x"
"862"	"F"
"863"	"F"
"864"	"F"
"865"	"F"
"866"	"C"
"867"	"C"
"868"	"F"
"869"	"A"
"870"	"C"
"871"	"A"
"872"	"F"
"873"	"C"
"874"	"B"
"875"	"F"
"876"	"A"
"877"	"B"
"878"	"E"
"879"	"D"
"880"	"A"
"881"	"F"
"882"	"A"
"883"	"A"
"884"	"C"
"885"	"C"
"886"	"F"
"887"	"F"
"888"	"F"
"889"	"C"
"890"	"C"
"891"	"D"
"892"	"F"
"893"	"D"
"894"	"C"
"895"	"B"
"896"	"F"
"897"	"A"
"898"	"C"
"899"	"F"
"900"	"F"
"901"	"A"
"902"	"C"
"903"	"C"
"904"	"F"
"905"	"A"
"906"	"F"
"907"	"A"
"908"	"C"
"909"	"C"
"910"	"A"
"911"	"C"
"912"	"A"
"913"	"A"
"914"	"F"
"915"	"A"
"916"	"C"
"917"	"A"
"918"	"B"
"919"	"E"
"920"	"D"
"921"	"C"
"922"	"C"
"923"	"B"
"924"	"C"
"925"	"A"
"926"	"B"
"927"	"C"
"928"	"A"
"929"	"F"
"930"	"A"
"931"	"E"
"932"	"E"
"933"	"C"
"934"	"A"
"935"	"B"
"936"	"A"
"937"	"C"
"938"	"A"
"939"	"C"
"940"	"C"
"941"	"A"
"942"	"A"
"943"	"A"
"944"	"F"
"945"	"F"
"946"	"F"
"947"	"C"
"948"	"F"
"949"	"E"
"950"	"E"
"951"	"F"
"952"	"A"
"953"	"F"
"954"	"A"
"955"	"A"
"956"	"C"
"957"	"D"
"958"	"A"
"959"	"A"
"960"	"A"
"961"	"A"
"962"	"A"
"963"	"C"
"964"	"C"
"965"	"F"
"966"	"A"
"967"	"F"
"968"	"A"
"969"	"A"
"970"	"F"
"971"	"C"
"972"	"C"
"973"	"A"
"974"	"F"
"975"	"C"
"976"	"A"
"977"	"C"
"978"	"A"
"979"	"F"
"980"	"D"
"981"	"C"
"982"	"A"
"983"	"C"
"984"	"A"
"985"	"E"
"986"	"A"
"987"	"F"
"988"	"C"
"989"	"E"
"990"	"A"
"991"	"C"
"992"	"A"
"993"	"A"
"994"	"A"
"995"	"F"
"996"	"A"
"997"	"A"
"998"	"C"
"999"	"C"
"1000"	"C"
